"No.","Time","Source","Destination","Protocol","Length","Info"
"96","223.082160","::","ff02::1:ff66:3ec2","ICMPv6","86","Neighbor Solicitation for fe80::d52e:f184:1366:3ec2"
"97","223.117283","10.0.0.2","224.0.0.251","MDNS","261","Standard query 0x0000 ANY 2.c.e.3.6.6.3.1.4.8.1.f.e.2.5.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY luiseduardo-VirtualBox.local, ""QM"" question ANY 2.0.0.10.in-addr.arpa, ""QM"" question A 10.0.0.2 PTR luiseduardo-VirtualBox.local AAAA fe80::d52e:f184:1366:3ec2 PTR luiseduardo-VirtualBox.local"
"98","223.177768","10.0.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"99","223.368089","10.0.0.2","224.0.0.251","MDNS","261","Standard query 0x0000 ANY 2.c.e.3.6.6.3.1.4.8.1.f.e.2.5.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY luiseduardo-VirtualBox.local, ""QM"" question ANY 2.0.0.10.in-addr.arpa, ""QM"" question A 10.0.0.2 PTR luiseduardo-VirtualBox.local AAAA fe80::d52e:f184:1366:3ec2 PTR luiseduardo-VirtualBox.local"
"100","223.434456","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"101","223.746456","10.0.0.2","224.0.0.251","MDNS","243","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local A, cache flush 10.0.0.2 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"102","223.849912","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"103","224.108298","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"104","224.118059","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"105","224.325946","fe80::d52e:f184:1366:3ec2","ff02::2","ICMPv6","62","Router Solicitation"
"106","224.630677","PcsCompu_3c:b5:2b","Broadcast","ARP","60","ARP Announcement for 10.0.0.2"
"107","224.973621","10.0.0.2","224.0.0.251","MDNS","243","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local A, cache flush 10.0.0.2 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"108","224.973621","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","216","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"109","225.001924","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"110","225.066403","fe80::d52e:f184:1366:3ec2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"111","225.850130","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"112","225.850130","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"113","226.631345","PcsCompu_3c:b5:2b","Broadcast","ARP","60","ARP Announcement for 10.0.0.2"
"114","227.201496","10.0.0.2","224.0.0.251","MDNS","243","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local A, cache flush 10.0.0.2 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"115","227.201496","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","216","Standard query response 0x0000 PTR, cache flush luiseduardo-VirtualBox.local AAAA, cache flush fe80::d52e:f184:1366:3ec2"
"116","228.220577","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"117","228.221518","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"118","228.323021","fe80::d52e:f184:1366:3ec2","ff02::2","ICMPv6","62","Router Solicitation"
"119","229.221025","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"120","229.221025","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"121","229.852056","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"122","229.852056","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"123","230.328300","10.0.0.2","255.255.255.255","SNMP","115","get-request 1.3.6.1.2.1.1.1.0 1.3.6.1.2.1.1.2.0 1.3.6.1.2.1.2.2.1.6.1"
"124","231.223192","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"125","231.223192","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"126","231.329577","10.0.0.2","255.255.255.255","SNMP","115","get-request 1.3.6.1.2.1.1.1.0 1.3.6.1.2.1.1.2.0 1.3.6.1.2.1.2.2.1.6.1"
"127","231.978984","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","99","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"128","231.978984","10.0.0.2","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"129","232.324626","fe80::d52e:f184:1366:3ec2","ff02::2","ICMPv6","62","Router Solicitation"
"130","232.980273","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","99","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"131","232.980273","10.0.0.2","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _scanner._tcp.local, ""QM"" question"
"132","233.833644","10.0.0.2","255.255.255.255","UDP","60","58973  >  3289 Len=15"
"133","234.840429","10.0.0.2","255.255.255.255","UDP","79","37782  >  1124 Len=37"
"134","235.224038","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","118","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question PTR _sane-port._tcp.local, ""QM"" question"
"135","235.224038","10.0.0.2","224.0.0.251","MDNS","98","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question PTR _sane-port._tcp.local, ""QM"" question"
"136","236.852812","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"137","236.975104","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"138","237.852436","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"139","237.852436","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
